Manufacturer,Model,Year,Type,SubType,Size_Class,Price,Currency,Serial_Number,Meter_Reads,Meter_Reads_UOM,URL,Seller_City,Seller_State,Seller_Zip,Seller_Country,Seller_Name,Condition,Machine_Location
Caterpillar,315FL,2017,Excavators,Standard Excavators,Null,98000,USD, 21E013, 6740,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/315fl/id/39000831, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,321D LCR,2013,Excavators,Large Excavators,148 hp,95000,USD, 21E034, 5375,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/321d_lcr/id/39866745, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336DL,2010,Excavators,Large Excavators,268 hp,92000,USD, 19E007, 11788,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336dl/id/20622814, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,320DL,2008,Excavators,Large Excavators,148 hp,78000,USD, 20E058, 6525,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/320dl/id/36756704, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,328D LCR,2012,Excavators,Large Excavators,204 hp,76000,USD, 21E029, 9232,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328d_lcr/id/39866746, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,308E2 CR,2017,Excavators,Mid-Sized Excavators,67 hp,58500,USD, 21E024, 6640,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/308e2_cr/id/39202060, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336EL,2012,Excavators,Large Excavators,323 hp,0,USD, 21E016, 8820,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336el/id/39304900, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Volvo,EC380D,2018,Excavators,Large Excavators,293 hp,190000,USD, EC380EL311666, 4500,Hours,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec380d/id/39388496, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Volvo,EC460C,2008,Excavators,Large Excavators,329 hp,85000,USD, EC460C110201,Null,Null,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec460c/id/39388497, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Link-Belt,235 X3 SPIN ACE,2014,Excavators,Large Excavators,Null,74888,USD,Null, 7714,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/235_x3_spin_ace/id/39388495, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Caterpillar,315FL,2017,Excavators,Standard Excavators,Null,98000,USD, 21E013, 6740,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/315fl/id/39000831, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,321D LCR,2013,Excavators,Large Excavators,148 hp,95000,USD, 21E034, 5375,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/321d_lcr/id/39866745, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336DL,2010,Excavators,Large Excavators,268 hp,92000,USD, 19E007, 11788,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336dl/id/20622814, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,320DL,2008,Excavators,Large Excavators,148 hp,78000,USD, 20E058, 6525,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/320dl/id/36756704, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,328D LCR,2012,Excavators,Large Excavators,204 hp,76000,USD, 21E029, 9232,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328d_lcr/id/39866746, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,308E2 CR,2017,Excavators,Mid-Sized Excavators,67 hp,58500,USD, 21E024, 6640,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/308e2_cr/id/39202060, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336EL,2012,Excavators,Large Excavators,323 hp,0,USD, 21E016, 8820,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336el/id/39304900, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Volvo,EC380D,2018,Excavators,Large Excavators,293 hp,190000,USD, EC380EL311666, 4500,Hours,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec380d/id/39388496, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Volvo,EC460C,2008,Excavators,Large Excavators,329 hp,85000,USD, EC460C110201,Null,Null,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec460c/id/39388497, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Link-Belt,235 X3 SPIN ACE,2014,Excavators,Large Excavators,Null,74888,USD,Null, 7714,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/235_x3_spin_ace/id/39388495, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Case,CX350C,2015,Excavators,Large Excavators,266 hp,306410,USD, NES6P1406, 847,Hours,https://www.constructionequipmentguide.com/used-equipment/case/excavators/cx350c/id/20294769, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Doosan,DX350 LC-5,2017,Excavators,Large Excavators,318 hp,297800,USD, DWGCECEBLH1020084, 1070,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx350_lc-5/id/20308044, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Doosan,DX350 LC-5,2017,Excavators,Large Excavators,318 hp,295100,USD, DWGCECEBHH1020085, 884,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx350_lc-5/id/20308042, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Doosan,DX140W-5,2016,Excavators,Standard Wheeled Excavators,132 hp,145000,USD, DHKCEWANTG5001667, 134,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx140w-5/id/20309996, BRONX,NY, 10462,US,Hoffman Equipment,New," Bronx, NY"
Case,CX350D,2017,Excavators,Large Excavators,268 hp,0,USD, NHS7P1249, 347,Hours,https://www.constructionequipmentguide.com/used-equipment/case/excavators/cx350d/id/20309992, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Caterpillar,374F,2018,Excavators,Large Excavators,472 hp,500000,USD, EBF20052, 4992,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/374f/id/39079316, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL,2018,Excavators,Large Excavators,Null,378000,USD, BZ220321, 2069,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl/id/36084822, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL TC,2017,Excavators,Large Excavators,Null,372000,USD, BZ210096, 2243,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/28785879, PISCATAWAY,NJ, 08854,US,Foley Incorporated," - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine,. "," Piscataway, NJ"
Caterpillar,349FL TC,2018,Excavators,Large Excavators,Null,367000,USD, BZ220006, 2186,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/30785851, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
